StudentName|roundOneQuestion|roundOneScore|roundTwoQuestion|roundTwoScore|roundThreeQuestion|roundThreeScore|totalScore
student1|In a binary tree, what is the maximum number of children a node can have?A) OneB) TwoC) ThreeD) Four|0|How are pointer variables initialized in C++?A) Using nullptrB) AutomaticallyC) Must be explicitly initializedD) Using new keyword|0|Which factor is critical in determining whether to use an array or a linked list?A) Time complexity of operationsB) Length of the codeC) Availability of memoryD) Ease of implementation|15|15
student2|Graphs are solely used in the analysis of electrical circuits and network communications, finding shortest route between two places and many more. Answer True or False?A) TrueB) False|20|What is the primary purpose of the cin and cout objects in C++?A) To perform arithmetic operationsB) To handle file input/outputC) To manipulate stringsD) To read from and write to the standard input/output streams|0|What term describes data stored for efficient search and retrieval?A) Atomic DataB) Composite DataC) Simple DataD) Structured Data|0|20
student3|What is the top-level node in a tree called?A) ParentB) LeafC) RootD) Child|0|The height of a tree is the number of nodes in it. Answer True or False?A) TrueB) False|0|What is the general form of a for loop in C++?A) for (initialization; condition; update)B) for (condition; update; initialization)C) for (update; condition; initialization)D) for (condition; initialization; update)|10|10
student4|What is the primary goal of measuring efficiency in computing?A) Increase memory usageB) Decrease execution timeC) Improve code readabilityD) Optimize hardware components|0|What characteristic distinguishes a circular linked list from a normal linked list?A) It stores NULL at the end nodeB) It has a limited number of elementsC) Its last node points to the first nodeD) It allows bidirectional traversal|0|Which operation is used to find the node with a specific key value in a Binary Search Tree (BST)?A) insert()B) delete()C) search()D) max()|0|0
student5|Which method is used to clear a linked list?A) delete()B) clear()C) remove()D) empty()|0|What structure is introduced to efficiently perform operations such as searching, insertion, and deletion in a binary tree?A) AVL TreeB) B-treeC) Binary Search TreeD) Heap|0|What operation must be handled differently in a circular linked list compared to a normal linked list?A) Insertion at the beginningB) Deletion from the beginningC) Insertion at the endD) Deletion from the end|15|15
student6|Which of the following statements is illegal in C++ when working with arrays?A) int list[10] = {0};B) int list[10] = {8, 5, 12};C) int list[];D) int list[10];|0|What term is used to describe nodes in a tree data structure that have no children?A) LeavesB) RootsC) BranchesD) Stems|20|Which method is used to find a specific node in a Binary Search Tree (BST)?A) Breadth-first searchB) Depth-first searchC) Linear searchD) Binary search|0|20
student7|How do you deallocate dynamic memory in C++?A) Using the delete keywordB) AutomaticallyC) Using nullptrD) By setting variables to NULL|10|Determine the minimum number of nodes we can get from a binary tree when the height of the tree is 3.A) 2B) 3C) 4D) 5|0|What is the characteristic feature of a FIFO data structure?A) Elements are added at the backB) Elements are added at the frontC) Elements are deleted from the backD) Elements are deleted from the front|0|10
student8|What characteristic defines simple data types?A) Can store only one value at a timeB) Can store multiple values at a timeC) Require complex algorithms for storageD) Can't be manipulated|10|Which term describes data that can be broken down into subfields?A) Atomic DataB) Simple DataC) Composite DataD) Primitive Data|0|Which data structure allows for fast random access to any element?A) Linked listB) Array listC) StackD) Queue|0|10
student9|In which application is the infix to postfix evaluation method used?A) Database managementB) Compiler designC) Graphics renderingD) Network routing|0|What is the primary difference between a class and a structure in C++?A) Classes are secure and can hide implementation details, while structures cannotB) Structures are private by default, while classes are public by defaultC) Classes represent objects with methods and encapsulation, while structures are used for grouping data membersD) Structures can have constructors and destructors, while classes cannot|0|What is the significance of the theorem stating that a graph has a spanning tree if and only if it is connected?A) It determines the efficiency of the minimal spanning tree algorithmsB) It ensures the existence of a minimal spanning treeC) It helps in identifying disconnected componentsD) It simplifies the traversal process|0|0
student10|What is the purpose of reference parameters in C++ functions?A) To make a copy of the actual parameterB) To access the memory address of the actual parameterC) To avoid passing parameters by valueD) To declare the data type of the parameter|0|What is a dangling pointer in C++?A) A pointer that points to a valid memory addressB) A pointer that points to a memory address that has been deallocatedC) A pointer that is uninitializedD) A pointer that is declared but never used|0|Which pointer allows access to the elements of a linked list?A) Current pointerB) Head pointerC) Last pointerD) Node pointer|0|0
student11|What are the four different traversal methods are commonly used for binary trees?A) Pre-order, In-order, Post-order, Level-orderB) Depth-first, Breadth-first, Pre-order, Post-orderC) In-order, Level-order, Breadth-first, Depth-firstD) Depth-first, In-order, Post-order, Level-order|20|What does the expression ptr->value() in C++ represent?A) Dereferencing a pointerB) Accessing a member function via a pointerC) Accessing a data member via a pointerD) Initializing a pointer|0|When is a linked list preferred over an array?A) When dynamic addition and expansion are requiredB) When lots of random access is necessaryC) When searching and items are unsortedD) When memory consumption is a concern|15|35
student12|What does the size field in a linked list data structure represent?A) Number of nodes in the listB) Total memory allocatedC) Size of each nodeD) Index of the last node|15|What is the purpose of the pop operation in a stack?A) To add an element onto the stackB) To peek at the top element of the stackC) To remove the top element from the stackD) To check if the stack is empty|0|How does linked representation of a binary tree connect parent and child nodes?A) ArraysB) Linked listsC) StacksD) Queues|0|15
student13|What are the fundamental operations typically performed on a graph?A) Creating the graphB) Adding or removing edgesC) Determining edge existenceD) All of the above|0|What is the maximum number of nodes we can get from a binary tree when the height of the tree is 5?A) 15B) 31C) 63D) 127|0|What is the role of the delete keyword in C++?A) Allocates memoryB) Deallocates memoryC) Copies memoryD) Initializes memory|0|0
student14|How is a queue implemented using arrays?A) Elements are added using a rear indexB) Elements are added using a front indexC) Elements are removed using a rear indexD) Elements are removed using a front index|15|What modification is required in the constructor of a linked list to accommodate efficient insertion at the end?A) Initializing size to 1B) Setting head to NULLC) Initializing tail to NULLD) Allocating memory for a new node|0|In which traversal method is the sequence of actions "visit the node, traverse the left subtree, traverse the right subtree"?A) Pre-order traversalB) In-order traversalC) Post-order traversalD) Level-order traversal|20|35
student15|What is the significance of setting a pointer to nullptr after deallocating memory?A) Prevents memory leaksB) Releases the memory immediatelyC) Invalidates the pointerD) Ensures the pointer points to a valid memory address|10|When inserting nodes into a Binary Search Tree (BST), what determines the shape of the resulting tree?A) The value of the nodes being insertedB) The height of the treeC) The order of insertion operationsD) The number of nodes in the tree|0|How is the count variable used to determine if a queue is empty?A) Incremented when an element is addedB) Decremented when an element is addedC) Incremented when an element is removedD) Decremented when an element is removed|0|10
student16|What does a head variable in a linked list store?A) Address of the last nodeB) Address of the previous nodeC) Address of the first nodeD) Address of the current node|0|Why is it significant that a graph has a spanning tree if and only if it is connected?A) It ensures the efficiency of the minimal spanning tree algorithmsB) It guarantees the existence of a minimal spanning treeC) It simplifies the traversal processD) It facilitates the identification of disconnected components|0|What is the primary advantage of using a linked list over an array list?A) Fast random accessB) Fixed array sizeC) Flexible sizeD) Sequential access|0|0
student17|What does the expression (*ptr).value() in C++ represent?A) Dereferencing a pointerB) Accessing a member function via a pointerC) Accessing a data member via a pointerD) Initializing a pointer|0|What application can benefit from the use of doubly linked lists?A) Implementing a stackB) Implementing a queueC) Implementing back and forward buttons in a web browserD) Implementing a binary search tree|0|Which operation's efficiency does not improve significantly in a circular linked list compared to a normal linked list?A) TraversalB) Insertion at the beginningC) Insertion at the endD) Deletion from the end|15|15
student18|What defines the Cartesian product A×B of sets A and B?A) Set of all ordered pairs where the first element is from A and the second from BB) Set of all unordered pairs where the elements can be from A or BC) Set of all elements that belong to either A or BD) Set of all subsets of A and B|20|Which loop structure is useful when you need to execute a statement at least once in C++?A) while loopB) for loopC) do...while loopD) switch loop|0|What is the significance of static member variables in C++ classes?A) They exist only when an object of the class is createdB) They are accessible using the 'this' pointerC) They are shared among all objects of the classD) They are initialized by the destructor|0|20
student19|What does the preprocessor do in C++ before the compiler runs?A) Generates object codeB) Sets up the source code for the compilerC) Executes program statements sequentiallyD) Defines hardware components|0|How is memory deallocated to avoid dangling pointers in queue implementation?A) Using deleteFront operationB) Using deleteRear operationC) Using the delete operatorD) Using the new operator|0|What operation is efficient in a circular doubly linked list compared to a circular linked list?A) Traversal from beginning to endB) Traversal from end to beginningC) Insertion at the beginningD) Insertion at the end|0|0
student20|What happens if a linked list is not properly cleared?A) Memory leak occursB) Stack overflow errorC) Dangling pointer issueD) Index out of bounds error|15|What method is used to get the element's info at a given index?A) getItemAtB) getItemInfoC) accessItemD) getElement|15|Which approach is more efficient for reversed traversal of a linked list?A) Using a nested loopB) Using recursionC) Using a doubly linked listD) Using an array|0|30
student21|Graphs are useful for representing linear relationships between objects/entities. Answer True or False?A) TrueB) False|20|What is the significance of the index in an array?A) It specifies the data type of the arrayB) It determines the size of the arrayC) It specifies the position of a component in the arrayD) It initializes the array|0|What is the purpose of the new keyword in C++?A) Allocates memory for dynamic variablesB) Defines new data typesC) Initializes static variablesD) Reserves memory for arrays|10|30
student22|What is the key characteristic of a stack data structure?A) First In First Out (FIFO)B) Last In First Out (LIFO)C) Random accessD) Bidirectional access|0|What is the main advantage of using doubly linked lists?A) Efficient insertion at the beginningB) Efficient traversal in both directionsC) Reduced memory consumptionD) Simplified implementation of insertions|0|How long should the array be for a complete binary tree with n nodes?A) n2B) n+1C) 2nD) n+1|0|0
student23|Which loop is most suitable when the number of iterations is known beforehand in C++?A) while loopB) for loopC) do...while loopD) switch loop|0|When traversing a linked list,what is compared with the desired value to search for an item?A) IndexB) PointerC) InfoD) Size|0|How are objects created using a constructor in C++?A) By calling the constructor explicitlyB) By using the 'delete' keywordC) By invoking the class name followed by parenthesesD) By using the 'new' keyword|0|0
student24|What type of graphs are adjacency lists particularly suitable for?A) Dense graphsB) Weighted graphsC) Sparse graphsD) Directed graphs|0|What is the role of the count variable in queue implementation?A) To store the maximum capacityB) To track the last operation performedC) To indicate the number of elementsD) To determine if the queue is full|0|In the provided code snippet, what is the purpose of the system("pause") statement?A) To pause the program executionB) To clear the screenC) To wait for user inputD) To display a message|0|0
student25|What is the maximum degree of all nodes in a tree?A) Tree degreeB) Node degreeC) Leaf degreeD) Branching degree|20|What are the four data members of a queue implemented using arrays?A) Array, front index, rear index, maximum sizeB) Array, front index, rear index, countC) Linked nodes, front pointer, rear pointer, countD) Array, head pointer, tail pointer, size|0|What modification is necessary in a circular linked list's insertion at the beginning compared to a normal linked list?A) Initializing head to NULLB) Allocating memory for a new nodeC) Setting the tail pointer to the new nodeD) Making the last node point to the new node|0|20
student26|Which method allows reversed traversal of a linked list using recursion?A) printReverse()B) traverseBackward()C) reverseTraversal()D) backwardPrint()|15|Linked lists can be used to implement a queue data structure efficiently.A) TrueB) False|15|What is the degree of a node in a graph?A) Adjacent verticesB) Incident edgesC) CyclesD) Connected components|0|30
student27|How does the delete() operation handle the case where the node to be deleted has nonempty left and right subtrees?A) It replaces the node with its left childB) It replaces the node with its right childC) It replaces the node with the maximum node from its left subtreeD) It removes the node and re-balances the tree using rotations|0|What is the primary purpose of AVL Trees?A) To maintain a balanced binary search treeB) To perform fast search operationsC) To store key-value pairs efficientlyD) To implement dynamic arrays|20|How does topological sorting help in managing tasks in a project?A) By resolving dependencies among tasksB) By minimizing the number of cyclesC) By randomizing task execution orderD) By maximizing the number of edges|20|40
student28|How does C++ ensure type safety when using pointers?A) By restricting pointer arithmeticB) By automatically initializing pointersC) By disallowing pointers altogetherD) By enforcing strict naming conventions|10|How do you prevent memory leaks in C++?A) By avoiding the use of pointersB) By using only static memory allocationC) By explicitly deallocating dynamic memory when no longer neededD) By increasing the stack size|0|When is a class destructor automatically executed in C++?A) When the class object is createdB) When the class object goes out of scopeC) When the class is declaredD) When the class inherits from another class|0|10
student29|How are two-dimensional arrays declared in C++?A) int[rows][columns] arr;B) int arr[rows][columns];C) int arr[][];D) int arr[];|0|What happens if an attempt is made to access an element at an index beyond the bounds of the linked list?A) Index out of range errorB) Null pointer exceptionC) Memory leakD) Index out of bound|15|What does the NULL link field in the last node of a linked list indicate?A) The end of the listB) A circular referenceC) The presence of a loopD) An empty list|15|30
student30|What is the primary advantage of using Kruskal's algorithm for finding a minimal spanning tree?A) It guarantees the shortest path between two verticesB) It efficiently handles negative-weight edgesC) It is suitable for cyclic graphsD) It is easy to implement|0|Which of the following is NOT a standard operation of a stack?A) pushB) addC) popD) top|0|What is the primary objective of Prim's algorithm?A) To identify the longest path in a graphB) To compute the maximum weight of a treeC) To build a minimal spanning treeD) To perform topological sorting|0|0
student31|What is the role of the dereferencing operator (*) in C++?A) Accessing memory addressB) Defining data typesC) Indirectly accessing value at an addressD) Declaring pointers|0|What must be ensured during the deletion process in a Binary Search Tree (BST) to maintain its structure?A) The node to be deleted must be a leaf nodeB) The node to be deleted must have a left subtreeC) The node to be deleted must have a right subtreeD) The resulting tree after deletion must remain a binary search tree|0|In a complete binary search tree, what is the maximum number of nodes in the last level?A) 2^(h-1)B) 2^(h-1) - 1C) 2^h - 1D) 2^h|20|20
student32|Which operation is used to calculate the size of a linked list?A) getSize()B) insert()C) clear()D) traverse()|15|What characteristic defines a minimal spanning tree?A) It maximizes the total weight of edgesB) It minimizes the total weight of edgesC) It contains the maximum number of verticesD) It contains the minimum number of edges|0|What is the purpose of the break statement in a switch structure?A) To exit the loopB) To skip the current iterationC) To jump to the next caseD) To exit the switch structure|0|15
student33|What is the purpose of a constructor in C++ classes?A) To delete objects properlyB) To initialize objects upon creationC) To free dynamic memoryD) To perform program housekeeping|0|What is the significance of selecting the best suitable algorithm?A) Increase memory usageB) Enhance hardware componentsC) Decrease execution timeD) Optimize code readability|0|What happens when a right parenthesis is encountered in parentheses matching and the stack is empty?A) The right parenthesis is added to the stackB) An error is raisedC) The right parenthesis is ignoredD) The algorithm terminates|0|0
student34|What type of data structure is suitable for hierarchically organized data items?A) Linked listsB)TreesC)StacksD)Queues|0|How many nodes does a full binary tree of height (h) have?A) 2hB) 2h−1C) h2D) h|20|What is the syntax for accessing a static member variable of a class in C++?A) class_name::variable_nameB) class_name.variable_nameC) class_name->variable_nameD) variable_name::class_name|10|30
student35|How can two-dimensional arrays be initialized in C++?A) By specifying the number of rows and columns within bracesB) By providing values for each element of the arrayC) By using the new keywordD) By declaring the data type of the array|0|What are the two sets of nodes in a binary tree called?A) Left and right nodesB) Left subtree and right subtreeC) Left and right childrenD) Left and right branches|0|In C++, what is the first line of the main function commonly referred to as?A) Heading lineB) Initialization lineC) Declaration lineD) Definition line|10|10
student36|Why is it necessary to create a new node in the heap when inserting into a linked list?A) To conserve memoryB) To avoid memory leaksC) To simplify the codeD) To speed up insertion|0|How is the stack data structure represented using linked nodes?A) Elements are stored in an arrayB) Elements are stored in a tree structureC) Elements are stored in linked nodesD) Elements are stored in a hash table|0|What is the number of children a node can have?A) Node degreeB) Tree degreeC) Leaf degreeD) Parent degree|20|20
